REGISTRO,nome,preco
057600510011,TALCO ALÍVIO,"7,58"
1002001390025,CHARMELIE,"161,32"
1002900050014,SINGULAIR,"72,30"
1002900050022,SINGULAIR,"72,30"
1002900050057,SINGULAIR,"48,61"
1002900050065,SINGULAIR,"72,30"
1002900050073,SINGULAIR,"48,61"
1002900050081,SINGULAIR,"48,61"
1002900050111,SINGULAIR,"227,65"
1002900050121,SINGULAIR,"75,79"
1002900070066,COZAAR,"76,89"
1002900070074,COZAAR,"52,15"
1002900070082,COZAAR,"37,23"
1002900120039,ZOCOR,"116,36"
1002900120160,ZOCOR,"52,75"
1002900120357,ZOCOR,"52,75"
1002900120403,ZOCOR,"92,62"
1002900130018,HYZAAR,"30,03"
1002900130026,HYZAAR,"60,05"
1002900130034,HYZAAR,"49,52"
1002900130042,HYZAAR,"99,05"
1002900140064,MAXALT,"29,17"
1002900190010,PROPECIA,"188,53"
1002900260094,TIENAM,"5307,26"
1002900270014,TRUSOPT,"98,15"
1002900280044,PROSCAR,"296,85"
1002900300010,VAQTA,"95,15"
1002900300037,VAQTA,"141,51"
1002900300061,VAQTA,"1414,87"
1002900310490,RENITEC,"31,57"
1002900310504,RENITEC,"20,32"
1002900310512,RENITEC,"62,02"
1002900320089,TIMOPTOL,"62,62"
1002900320127,TIMOPTOL,"18,17"
1002900350018,ARCOXIA,"58,46"
1002900350026,ARCOXIA,"115,07"
1002900350042,ARCOXIA,"65,20"
1002900350050,ARCOXIA,"128,26"
1002900350107,ARCOXIA,"18,59"
1002900760038,EZETROL,"178,75"
1002901310028,PRINZIDE,"85,32"
1002901350062,VYTORIN,"158,11"
1002901350070,VYTORIN,"73,79"
1002901350089,VYTORIN,"147,60"
1002901350100,VYTORIN,"276,96"
1002901350119,VYTORIN,"129,23"
1002901350127,VYTORIN,"258,56"
1002901350161,VYTORIN,"263,69"
1002901350240,VYTORIN,"147,60"
1002901350259,VYTORIN,"158,11"
1002901360017,PRINIVIL,"122,46"
1002901720031,JANUVIA,"65,94"
1002901720064,JANUVIA,"131,83"
1002901720099,JANUVIA,"131,83"
1002901720102,JANUVIA,"263,69"
1002901720145,JANUVIA,"65,94"
1002901720171,JANUVIA,"131,83"
1002901720201,JANUVIA,"131,83"
1002901720218,JANUVIA,"263,69"
1002901770029,JANUMET,"259,87"
1002901770037,JANUMET,"129,91"
1002901770045,JANUMET,"259,87"
1002901770053,JANUMET,"129,91"
1002901770061,JANUMET,"259,87"
1002901770142,JANUMET,"91,96"
1002901770150,JANUMET,"85,82"
1002901770169,JANUMET,"275,88"
1002901770177,JANUMET,"275,88"
1002901770185,JANUMET,"257,51"
1002901800025,FOSAMAX D,"176,03"
1002901860011,STEZZA,"46,50"
1002901860028,STEZZA,"162,73"
1002901870023,DESALEX D12,"50,25"
1002901890024,METICORTEN,"19,81"
1002901890067,METICORTEN,"26,69"
1002901900011,AFRIN,"12,10"
1002901900038,AFRIN,"21,79"
1002901900070,AFRIN,"15,17"
1002901910017,DESALEX,"63,09"
1002901910041,DESALEX,"50,49"
1002901910076,DESALEX,"72,25"
1002901910084,DESALEX,"97,97"
1002901930018,NITES,"96,81"
1002901940013,PÉROLA,"40,74"
1002901940021,PÉROLA,"105,23"
1002901980015,ZEPATIER,"76698,32"
1002902010011,SIVEXTRO,"6909,15"
1002902050011,PUREGON,"1223,31"
1002902060025,HETORI,"57,69"
1002902060033,HETORI,"115,07"
1002902060041,HETORI,"18,50"
1002902060051,HETORI,"64,77"
1002902060068,HETORI,"128,26"
1002902070039,AVIANT,"50,02"
1002902070047,AVIANT,"140,84"
1002902070071,AVIANT,"68,15"
1002902080026,AVIANT EFE,"50,24"
1002902090013,VIATINE,"30,93"
1002902090031,VIATINE,"93,12"
1002902090048,VIATINE,"36,07"
1002902090056,VIATINE,"108,11"
1002902090072,VIATINE,"34,82"
1002902090080,VIATINE,"104,35"
1002902100019,ELONVA,"1732,31"
1002902100027,ELONVA,"2367,29"
1002902110014,IMPLANON,"910,17"
1002902120011,ORGALUTRAN,"388,18"
1002902130015,NUVARING,"92,72"
1002902140029,ZETIA,"59,47"
1002902140045,ZETIA,"178,63"
1002902140053,ZETIA,"357,25"
1002902150083,ZETSIM,"158,11"
1002902150105,ZETSIM,"73,79"
1002902150121,ZETSIM,"158,11"
1002902150164,ZETSIM,"259,68"
1002902160011,SANDRENA,"72,45"
1002902160021,SANDRENA,"39,65"
1002902170017,NASONEX®,"96,81"
1002902170025,NASONEX®,"63,68"
1002902180012,CERAZETTE,"46,70"
1002902180020,CERAZETTE,"140,15"
1002902190026,GRACIAL,"46,78"
1002902200013,MERCILON,"49,52"
1002902200021,MERCILON,"148,54"
1002902210019,MERCILON CONTI,"48,91"
1002902210027,MERCILON CONTI,"138,89"
1002902220014,LIVIAL,"96,16"
1002902220022,LIVIAL,"274,75"
1002902230011,MICRODIOL,"39,61"
1002902240015,REMERON,"30,28"
1002902240023,REMERON,"151,46"
1002902240031,REMERON,"60,59"
1002902240041,REMERON,"302,99"
1002902240058,REMERON,"430,77"
1003300010057,ANCORON,"35,47"
1003300010133,ANCORON,"24,77"
1003300010141,ANCORON,"49,62"
1003300010151,ANCORON,"49,55"
1003300010168,ANCORON,"99,25"
1003300010176,ANCORON,"74,32"
1003300010184,ANCORON,"148,85"
1003300270046,GESTINOL,"52,38"
1003300270070,GESTINOL,"139,61"
1003300280033,PLAMET,"39,98"
