,nome,codigo,preco
63,SINGULAIR,1002900050057,"27,59"
64,SINGULAIR,1002900050065,"41,04"
65,SINGULAIR,1002900050073,"27,59"
66,SINGULAIR,1002900050081,"27,59"
67,SINGULAIR,1002900050111,"129,22"
68,SINGULAIR,1002900050121,"43,02"
69,COZAAR,1002900070066,"43,65"
70,COZAAR,1002900070074,"29,60"
71,COZAAR,1002900070082,"21,13"
72,ZOCOR,1002900120039,"66,05"
73,ZOCOR,1002900120160,"29,94"
74,ZOCOR,1002900120357,"29,94"
75,ZOCOR,1002900120403,"52,57"
76,HYZAAR,1002900130018,"17,04"
77,HYZAAR,1002900130026,"34,09"
78,HYZAAR,1002900130034,"28,11"
79,HYZAAR,1002900130042,"56,22"
80,MAXALT,1002900140064,"16,56"
81,PROPECIA,1002900190010,"110,28"
82,TIENAM,1002900260094,"3012,50"
83,TRUSOPT,1002900270014,"55,71"
84,PROSCAR,1002900280044,"168,50"
85,VAQTA,1002900300010,"54,01"
86,VAQTA,1002900300037,"80,32"
87,VAQTA,1002900300061,"803,11"
88,RENITEC,1002900310490,"17,92"
89,RENITEC,1002900310504,"11,54"
90,RENITEC,1002900310512,"35,20"
91,TIMOPTOL,1002900320089,"35,55"
92,TIMOPTOL,1002900320127,"10,31"
93,ARCOXIA,1002900350018,"33,18"
94,ARCOXIA,1002900350026,"65,32"
95,ARCOXIA,1002900350042,"37,01"
96,ARCOXIA,1002900350050,"72,80"
97,ARCOXIA,1002900350107,"10,55"
98,EZETROL,1002900760038,"101,46"
99,PRINZIDE,1002901310028,"48,43"
100,VYTORIN,1002901350062,"89,75"
101,VYTORIN,1002901350070,"41,89"
102,VYTORIN,1002901350089,"83,78"
103,VYTORIN,1002901350100,"157,21"
104,VYTORIN,1002901350119,"73,35"
105,VYTORIN,1002901350127,"146,76"
106,VYTORIN,1002901350161,"149,67"
107,VYTORIN,1002901350240,"83,78"
108,VYTORIN,1002901350259,"89,75"
109,PRINIVIL,1002901360017,"69,51"
110,JANUVIA,1002901720031,"37,43"
111,JANUVIA,1002901720064,"74,83"
112,JANUVIA,1002901720099,"74,83"
113,JANUVIA,1002901720102,"149,67"
